soil_moisture,soil_temperature,weather_temperature,weather_humidity,solar_radiation,MaxT,MinT,Precipitation,Moisture_Trend,Crop
51.84577916402186,32.0,26.696039954035896,62.82784041283627,35.399725967878084,32.39794864873776,22.800110903044228,0.05669346623864814,-0.37055712319770767,0
46.68086293016668,32.0,24.51274211808252,62.14962125927147,34.55988815276821,30.26610059575641,18.68406407610165,2.8775926716002607,1.2193643577188649,0
55.78557143935445,32.0,27.526481599874586,64.23287098638279,41.632289445087395,34.13101777062728,28.60884047058836,16.966459186988025,1.0349190478498185,3
49.28279575978755,30.684314016745063,24.64489698813815,57.19380312495046,48.39729249860043,42.187477758195676,26.604001143689768,0.8000294484265595,0.15602416463880475,5
50.03866512208652,32.0,26.47998793879169,61.39733448085053,42.31689525110866,40.33842918918786,27.967441363185785,1.122682535672097,-1.4208339176778997,11
50.21301575286197,32.0,26.482579241622123,57.16283031397609,44.84343064171183,31.922234173023938,19.69894647755545,0.745980432208867,0.24071454812027251,13
56.12331201288207,32.0,28.719818849908133,62.370617812435135,40.28515807333248,29.745983219338445,23.377719155091953,1.5567441318090358,0.36859238815790707,13
45.59297509143353,32.0,27.25948849837366,64.52035566641526,39.41011908790715,36.54637187855958,24.65475457288891,6.0994549141307335,-0.2503308062155078,13
61.41280405947619,32.0,28.59198208168541,66.47707431038334,43.55916925921625,31.591040929085725,28.246037431421076,8.625302641801044,-0.9327974077071606,17
55.168168160567774,32.0,24.78851480584056,69.4740339644478,49.28596561180669,27.099715413375826,27.293068895479518,0.4568709866965012,0.4520855788936302,20
52.66971637737993,32.0,26.964399702819176,60.68211027487347,53.53291188627895,32.75898200419564,17.098498867904457,1.2623961108039727,-1.711478522554467,31
52.85348678331589,32.0,29.664598279599865,68.36317930872136,20.09380294526954,34.430138906029526,26.660025641669396,12.321727470937516,0.303417390354818,40
53.55572239635938,32.0,24.901629023109535,64.87551169984793,43.31805331767306,32.566741043286086,23.762016293449015,0.45046567917158814,-0.8458050026227437,40
53.932747685777514,32.0,25.498097328672593,68.18555917743252,37.25949569370919,32.285749757360016,30.82828591848986,7.076632886863375,-0.9859530680506507,40
53.666728727724056,32.0,28.1905739594064,71.76259046948047,34.4611954411531,42.15628434603382,28.83819071496336,6.853417368931316,0.39929020533100146,43
52.267157626941945,31.162268783212355,30.403186593377256,57.781934459966806,46.37821826029277,37.12051207865377,27.331288698569058,1.529934074122594,0.6639984830579492,46
51.40775871482814,32.0,27.751759632452753,66.04648594478216,36.41695086454507,32.24783813739415,25.403089362780175,0.2812453166386813,2.3424112663128134,49
51.53852258277529,32.0,24.96007856438757,59.0039601663879,29.641041780797174,36.25899975968109,28.718572580968416,9.941712852809454,-2.200322667746959,0
51.41120468720687,32.0,24.999111659060148,69.81735266082964,26.97476918440126,36.57140877540569,28.01317673802164,1.8839518928907328,0.9542282015670842,3
55.4012896416168,32.0,27.44969044076853,56.061141206754016,35.71780491064432,32.957567521536625,27.649239565439025,19.198885516435595,-0.9400159538355884,8
53.77610146992639,32.0,27.89515325696482,66.58826157647786,43.3804045320575,37.547232122638015,28.51592319062191,1.2849595704978045,-0.11356482525383643,11
43.17764901997737,29.60792576548824,26.737452805419498,59.23193155638093,57.54676134171135,37.7627818893374,24.78764411839463,1.01207276326422,3.000231563974274,13
53.96159268430762,32.0,25.021858614303195,64.77211897438443,35.37819593740363,32.180786560574134,24.103795915083968,13.349241663357134,-0.5723305803986022,15
52.58386909641099,32.0,29.382830468330944,68.34057430114468,57.80575056652974,30.400543473880447,18.949578099838142,0.2982515112964921,0.9020494192186925,16
51.94135942027531,32.0,26.48256037292782,58.77999421366333,27.56069141722822,32.79848236736855,21.897964729698877,2.769019230381552,-0.8369105703784488,21
50.83439293190941,31.124347507350024,28.233930335536293,54.658222947294774,41.14325467134689,30.503446531248347,19.14379474413733,0.03636958680053805,-0.5665517463231117,23
55.36153784503243,32.0,23.633664124378406,60.705074438780855,43.04328699446126,32.196042096796624,24.248507250032294,13.166319722099647,0.8918992519175851,24
54.83977476156306,32.0,29.582308811856592,60.062926890524,21.546340930846554,25.78566601088016,22.16121142443233,0.3442707024287324,-2.8956913799788415,26
49.679993659839354,32.0,25.8103796902072,55.577692168727836,56.83030765090342,42.29031103212736,29.646420162258607,9.570601502571648,0.2800825392222044,32
53.20963773301878,32.0,29.869368750894356,51.95252556155944,41.292939095926926,31.74582266810051,20.061025499336985,0.39476436456336744,-0.6908490306176467,37
