Soil_Moisture,Moisture_Trend,Temperature,Humidity,Rain_Expected,Crop
46.636974697730416,0.0,26.506968233154232,76.36021908237777,1,0
44.52828480236538,-4.710023466309076,27.22329508891969,63.74325518716425,1,1
47.19088803615916,-4.140411909056035,26.37168333391365,67.26641641670675,1,8
50.0,-3.720994537935688,27.11706773445996,50.59651515917122,1,9
44.206750462014185,-3.297883394060333,26.24970047335769,66.41846671123804,1,11
44.19981027409744,-3.086926347150105,24.236396233836903,65.62896907655079,1,13
50.0,-2.223368408153834,26.01070116757363,45.427496906338746,1,16
47.540691443325805,-1.5446483850466295,24.0894093771202,67.12972144605754,1,21
43.40564123818608,-1.055001435769567,23.91292234846737,52.91247039261543,1,23
46.82432521381301,-0.6611773386868314,25.100983866018357,59.68941080425012,1,24
43.428603039098846,-0.1451642479148285,25.68060881331376,72.28095182933548,1,26
43.41841928817311,-0.1417866362806541,26.094208295329743,66.15276947672524,1,29
45.81401918525604,-0.1261760556146063,28.45080869843262,61.71670648683279,1,31
38.46275686042726,-0.1465764367808564,24.66688309150232,61.08980871479321,1,32
39.11956054747644,-0.1147344447892328,26.526470493754022,61.93970139179972,1,37
42.93267429868408,-0.4731964842016611,26.315659135012883,66.1779363439922,1,39
41.21461828152968,-0.0744372748092181,24.37225451255153,56.20958388748734,1,40
45.9598947527423,-0.0625711767267467,26.197215992849,73.23233767502292,1,40
40.89847995724728,0.0326644035067769,28.681727570563865,56.59819908909553,1,40
40.21237255164745,-0.0550477711995012,26.498801418147963,52.35547855018449,1,43
49.952610762057205,0.2360208093427629,26.605987226683265,72.25665289004613,1,44
44.21762791625079,-0.0876692574183102,24.11363515054252,61.80111348411879,1,46
45.22293347216158,-0.1356946911529877,31.26561314429606,65.51586457804297,1,48
40.17812156913888,-0.2520785478939169,24.26600376981367,69.79283161035254,1,49
43.15790679848082,-0.9229703002494126,21.539597718584982,59.73269665516855,1,50
45.369343905039386,0.1289995237237629,28.3005188041607,66.0041022805607,1,51
41.0557744620215,-0.910220066162759,25.6929276505566,69.74585709099777,1,53
46.216147075394616,-1.18182471205424,25.189530019039296,77.03082026304493,1,0
42.71876810200473,-1.3481110274392314,24.54094408276278,61.258320869198265,1,1
43.835282430497024,-0.332106750594434,31.00580583627784,61.61056699399897,1,2
42.96373145520665,-1.3968998273994115,26.94833371661853,69.12435335005868,1,2
50.0,-0.5758153957678069,27.470281760937645,66.52719765159526,1,5
44.94179908345863,0.0285348091199844,26.434907238006765,63.99670302385633,1,6
41.41116799568527,0.2591752654890644,26.72223399523988,76.66075956579397,1,10
47.67279165474399,-0.1337139151561772,29.740550587865,52.68216244377145,1,13
40.86676223880233,0.0986057869977652,25.32910193096873,54.59079793078238,1,13
45.7036708991863,0.704139838398703,22.103494424997717,52.76676391746569,1,14
