Soil_Moisture,Moisture_Trend,Temperature,Humidity,Rain_Expected,Crop
46.636974697730416,0.0,26.506968233154232,76.36021908237777,1,Arecanut
44.52828480236538,-4.710023466309076,27.22329508891969,63.74325518716425,1,Arhar/Tur
47.19088803615916,-4.140411909056035,26.37168333391365,67.26641641670675,1,Castor Seed
50.0,-3.720994537935688,27.117067734459958,50.59651515917122,1,Coconut
44.206750462014185,-3.297883394060333,26.249700473357695,66.41846671123804,1,Cotton(Lint)
44.19981027409744,-3.086926347150105,24.236396233836906,65.62896907655079,1,Dry Chillies
50.0,-2.223368408153834,26.01070116757363,45.427496906338746,1,Gram
47.540691443325805,-1.5446483850466297,24.0894093771202,67.12972144605754,1,Jute
43.40564123818608,-1.055001435769567,23.912922348467372,52.91247039261543,1,Linseed
46.82432521381301,-0.6611773386868314,25.100983866018353,59.68941080425012,1,Maize
43.428603039098846,-0.14516424791482851,25.68060881331376,72.28095182933548,1,Mesta
43.418419288173105,-0.14178663628065413,26.094208295329743,66.15276947672524,1,Niger Seed
45.814019185256036,-0.12617605561460632,28.45080869843262,61.71670648683279,1,Onion
38.46275686042726,-0.1465764367808564,24.666883091502317,61.08980871479321,1,Other  Rabi Pulses
39.11956054747644,-0.11473444478923289,26.526470493754026,61.939701391799716,1,Potato
42.932674298684084,-0.47319648420166116,26.315659135012883,66.1779363439922,1,Rapeseed &Mustard
41.21461828152968,-0.07443727480921813,24.37225451255153,56.20958388748734,1,Rice
45.9598947527423,-0.06257117672674672,26.197215992849,73.23233767502292,1,Rice
40.898479957247275,0.03266440350677691,28.681727570563865,56.59819908909553,1,Rice
40.21237255164745,-0.055047771199501216,26.498801418147963,52.35547855018449,1,Sesamum
49.952610762057205,0.23602080934276293,26.605987226683265,72.25665289004613,1,Small Millets
44.21762791625079,-0.08766925741831022,24.11363515054252,61.80111348411879,1,Sugarcane
45.22293347216158,-0.1356946911529877,31.26561314429606,65.51586457804297,1,Sweet Potato
40.17812156913888,-0.2520785478939169,24.26600376981367,69.79283161035254,1,Tapioca
43.15790679848082,-0.9229703002494126,21.539597718584986,59.73269665516855,1,Tobacco
45.369343905039386,0.12899952372376297,28.3005188041607,66.0041022805607,1,Turmeric
41.0557744620215,-0.910220066162759,25.6929276505566,69.74585709099777,1,Wheat
46.216147075394616,-1.18182471205424,25.189530019039296,77.03082026304493,1,Arecanut
42.71876810200473,-1.3481110274392314,24.54094408276278,61.258320869198265,1,Arhar/Tur
43.835282430497024,-0.33210675059443406,31.005805836277837,61.61056699399897,1,Bajra
42.96373145520665,-1.3968998273994115,26.948333716618535,69.12435335005868,1,Bajra
50.0,-0.5758153957678069,27.470281760937645,66.52719765159526,1,Black Pepper
44.94179908345863,0.028534809119984406,26.434907238006765,63.99670302385633,1,Cardamom
41.41116799568527,0.25917526548906444,26.72223399523988,76.66075956579397,1,Coriander
47.67279165474399,-0.13371391515617725,29.740550587865002,52.68216244377145,1,Dry Chillies
40.86676223880233,0.09860578699776523,25.329101930968726,54.59079793078238,1,Dry Chillies
45.7036708991863,0.704139838398703,22.103494424997713,52.76676391746569,1,Garlic
38.36761147528623,0.4691454537446793,28.321568148205216,73.7980091883185,1,Ginger
40.00577029837048,0.5497951199086004,27.32840327107046,68.76850796926907,1,Groundnut
